<UNK> 1.0	sil
ಪರ್ವತಗಳು 1.0	p r eu w t g lx u 
ವಾಯುವಿಗನುಗುಣವಾಗಿ 1.0	w aa y u w i g n u g u nx w aa g i 
ಕಂಪಿಸುವುವು 1.0	k q p i s u w u w u 
ಚಿತ್ರವನ್ನು 1.0	c i t eu r w n eu n u 
ಕೆಲವೊಮ್ಮೆ 1.0	k e l w o m eu m e 
ವಾರ್ನಿಷ್ 1.0	w aa r eu n i sx eu 
ಅಥವಾ 1.0	a th w aa 
ಕೆಲವು 1.0	k e l w u 
ಇತರ 1.0	i t r 
ಮುದ್ರಕಗಳನ್ನು 1.0	m u d eu r k g lx n eu n u 
ರಕ್ಷಣೆಯಾಗಿ 1.0	r k eu sx nx e y aa g i 
ಲೇಪನ 1.0	l ee p n 
ಮಾಡಲಾಗುತ್ತದೆ 1.0	m aa dx l aa g u t eu t d e 
ಹಚ್ಚುವ 1.0	h c eu c u w 
ಮೊದಲು 1.0	m o d l u 
ಲೋಹಗಳ 1.0	l ii g lx 
ಮೈಯನ್ನು 1.0	m ai y n eu n u 
ಉಜ್ಜಿ 1.0	u j eu j i 
ಒರಟು 1.0	o r tx u 
ಮಾಡುವುದು 1.0	m aa dx u w u d u 
ಒಳ್ಳೆಯದು 1.0	o lx eu lx e y d u 
ಹೂಗೊಂಚಲಿನಲ್ಲಿ 1.0	h uu g o q c l i n l eu l i 
ಹೆಣ್ಣು 1.0	h e nx eu nx u 
ಹೂಗಳು 1.0	h uu g lx u 
ಮಾತ್ರವಿದೆ 1.0	m aa t eu r w i d e 
ನಾಲ್ನೂರು 1.0	n aa l eu n uu r u 
ಗಜಗಳಲ್ಲಿ 1.0	g j g lx l eu l i 
ಒಂದು 1.0	o q d u 
ಸಾರ್ತಿ 1.0	s aa r eu t i 
ಈ 1.0	ii 
ಪಾರ್ಶ್ವಚಿತ್ರ 1.0	p aa r eu sh eu w c i t eu r 
ನಿರ್ಮಾಣವಾದ 1.0	n i r eu m aa nx w aa d 
ನಂತರ 1.0	n q t r 
ಪರಿಸ್ಥಿತಿ 1.0	p r i s eu th i t i 
ಹೀಗಿದ್ದರೂ 1.0	h ii g i d eu d r uu 
ದ್ವಿತೀಯ 1.0	d eu w i t ii y 
ಅಂತಾರಾಷ್ಟ್ರೀಯವು 1.0	a q t aa r aa sx eu tx eu r ii y w u 
ಶ್ರಮಜೀವಿಗಳ 1.0	sh eu r m j ii w i g lx 
ಅನೇಕ 1.0	a n ee k 
ಹೋರಾಟಗಳಲ್ಲಿ 1.0	h ii aa tx g lx l eu l i 
ಜಯಗಳಿಸಿ 1.0	j y g lx i s i 
ಕಾರ್ಮಿಕ 1.0	k aa r eu m i k 
ಚಳವಳಿಯನ್ನು 1.0	c lx w lx i y n eu n u 
ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ 1.0	p eu r bh aa w sh aa l i y n eu n aa g i 
ಮಾಡಿತು 1.0	m aa dx i t u 
ಹವಾಮಾನ 1.0	h w aa m aa n 
ಅನನಕೂಲವಾಗಿದ್ದರೆ 1.0	a n n k uu l w aa g i d eu d r e 
ಇವುಗಳನ್ನು 1.0	i w u g lx n eu n u 
ದಿನದಲ್ಲಿ 1.0	d i n d l eu l i 
ಪೂರ್ಣಗೊಳಿಸುವುದಿಲ್ಲ 1.0	p uu r eu nx g o lx i s u w u d i l eu l 
ಅಂತರಿಕ್ಷಯಾನ 1.0	a q t r i k eu sx y aa n 
ಇಂಜಿನಿಯರುಗಳು 1.0	i q j i n i y r u g lx u 
ನಾಗರಿಕ 1.0	n aa g r i k 
ವಿಮಾನಯಾನ 1.0	w i m aa n y aa n 
ಇದರಿಂದಾಗಿ 1.0	i d r i q d aa g i 
ಅಂತಾರಾಷ್ಟ್ರೀಯ 1.0	a q t aa r aa sx eu tx eu r ii y 
ಅವಸಾನಗೊಂಡಿತು 1.0	a w s aa n g o q dx i t u 
ಸರ್ಕಾರದ 1.0	s r eu k aa r d 
ಖಜಾನೆಯ 1.0	kh j aa n e y 
ಇಷ್ಟಾನುಸಾರವಾಗಿ 1.0	i sx eu tx aa n u s aa r w aa g i 
ಹೆಚ್ಚು 1.0	h e c eu c u 
ವ್ಯಾಪಕವಾದ 1.0	w eu y aa p k w aa d 
ಬಹಿರಂಗಪಡಿಸುವಿಕೆಯ 1.0	b h i r q g p dx i s u w i k e y 
ಅವಶ್ಯಕತೆಯು 1.0	a w sh eu y k t e y u 
ಕಂಡುಬರಬಹುದು 1.0	k q dx u b r b h u d u 
ನೈಟ್ರೋಜನ್ನಿನ 1.0	n ai tx eu r ii n eu n i n 
ಕೊರತೆಯ 1.0	k o r t e y 
ತೀವ್ರತೆಯನ್ನು 1.0	t ii w eu r t e y n eu n u 
ಕಂಡುಕೊಳ್ಳಬೇಕಾದರೆ 1.0	k q dx u k o lx eu lx b ee k aa d r e 
ಅದರ 1.0	a d r 
ಅಂಶ 1.0	a q sh 
ಸಸ್ಯಾಂಗದ 1.0	s s eu y aa q g d 
ಯಾವ 1.0	y aa w 
ಭಾಗದಲ್ಲಿ 1.0	bh aa g d l eu l i 
ಪ್ರಪ್ರಥಮ 1.0	p eu r p eu r th m 
ಕಡಿಮೆಯಾಗಿರುತ್ತದೆಯೋ 1.0	k dx i m e y aa g i r u t eu t d e y oo 
ಅಲ್ಲಿ 1.0	a l eu l i 
ಪರೀಕ್ಷೆ 1.0	p r ii k eu sx e 
ಮಾಡಬೇಕು 1.0	m aa dx b ee k u 
ರಾಷ್ಟ್ರೀಯ 1.0	r aa sx eu tx eu r ii y 
ಹಾಗೂ 1.0	h aa g uu 
